URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/kobe-bistro-by-chef-david-thai-ton-duc-thang-4870,Kobe Bistro By Chef David Thai - Tôn Đức Thắng,"23C Tôn Đức Thắng, P. Bến Nghé, Q. 1",Gọi món Âu,600.000 - 1.000.000,11h00 - 15h00 & 17h30 - 22h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/kobe-bistro-by-chef-david-thai-ton-duc-thang-4870,,,,,,,,"Tất cả khách hàng, gia đình, bạn bè, tiếp khách, sinh nhật...","- Bò satsuma A5+ (dùng kèm bánh chanh vàng, cà chua, khoai tây nấu chậm trong mỡ bò Kobe, cà rốt nhỏ)
- Đùi vịt nấu chậm (dùng kèm khoai tây xào tỏi, húng quế, xà lách rocket, sốt mù tạt vàng)
- Cà chua lớn phô mai mozzarella (bánh tart nghìn lớp nhân cà chua, phô mai Mozzarella nhà làm, sốt quế, giấm balsamic, xà lách rocket)
- Súp vàng hải sản kiểu Pháp (Nhụy hoa nghệ tây, cá mú , sò điệp, mực, sốt Aioli)
- Mỳ Ý đen nhà làm (dùng kèm sò điệp, tôm sú biển, vẹm, sốt tôm)
- Súp phở bào ngư gan ngỗng
- Salad trái cây – kem trà xanh bạc hà – bánh quy
- Lưỡi bò","Phong cách Âu, sang trọng, ấm áp", 35 khách,"- Nhà hàng Kobe Bistro do đầu bếp nổi tiếng David Thai làm đầu bếp trưởng. Ông là một chuyên gia về ẩm thực Pháp đương đại. Phong cách đặc trưng của ông là sự pha trộn 2 nền ẩm thực Đông và Tây.
- Món ăn mang hương vị khác biệt và không gian sang trọng, ấm áp đặc trưng tại Kobe Bistro sẽ là một lựa chọn hoàn hảo, ghi dấu ấn khó phai cho bữa tiệc của bạn.",,,,,,,,,106.70552311639,10.7825754269588,
https://pasgo.vn/nha-hang/kobe-bistro-by-chef-david-thai-ton-duc-thang-4870,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,
https://pasgo.vn/nha-hang/kobe-bistro-by-chef-david-thai-ton-duc-thang-4870,,,,,,,,,,,,,,,Chỗ để xe ô tô,Để xe tại nhà hàng (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/kobe-bistro-by-chef-david-thai-ton-duc-thang-4870,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe tại nhà hàng (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/kobe-bistro-by-chef-david-thai-ton-duc-thang-4870,,,,,,,,,,,,,,,,,THỨ HAI,17:30,22:00,,,,
https://pasgo.vn/nha-hang/kobe-bistro-by-chef-david-thai-ton-duc-thang-4870,,,,,,,,,,,,,,,,,THỨ BA,17:30,22:00,,,,
https://pasgo.vn/nha-hang/kobe-bistro-by-chef-david-thai-ton-duc-thang-4870,,,,,,,,,,,,,,,,,THỨ TƯ,17:30,22:00,,,,
https://pasgo.vn/nha-hang/kobe-bistro-by-chef-david-thai-ton-duc-thang-4870,,,,,,,,,,,,,,,,,THỨ NĂM,17:30,22:00,,,,
https://pasgo.vn/nha-hang/kobe-bistro-by-chef-david-thai-ton-duc-thang-4870,,,,,,,,,,,,,,,,,THỨ SÁU,17:30,22:00,,,,
https://pasgo.vn/nha-hang/kobe-bistro-by-chef-david-thai-ton-duc-thang-4870,,,,,,,,,,,,,,,,,THỨ BẢY,17:30,22:00,,,,
https://pasgo.vn/nha-hang/kobe-bistro-by-chef-david-thai-ton-duc-thang-4870,,,,,,,,,,,,,,,,,CHỦ NHẬT,17:30,22:00,,,,
https://pasgo.vn/nha-hang/kobe-bistro-by-chef-david-thai-ton-duc-thang-4870,,,,,,,,,,,,,,,,,,,,Nhà hàng Kobe Bistro By Chef David Thai Tôn Đức Thắng nhà hàng Âu 1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kobe-bistro-by-chef-david-thai-ton-duc-thang-1-normal-2251871756249.webp,,,
https://pasgo.vn/nha-hang/kobe-bistro-by-chef-david-thai-ton-duc-thang-4870,,,,,,,,,,,,,,,,,,,,Nhà hàng Kobe Bistro By Chef David Thai Tôn Đức Thắng nhà hàng Âu 2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kobe-bistro-by-chef-david-thai-ton-duc-thang-2-normal-2251871856250.webp,,,
https://pasgo.vn/nha-hang/kobe-bistro-by-chef-david-thai-ton-duc-thang-4870,,,,,,,,,,,,,,,,,,,,Nhà hàng Kobe Bistro By Chef David Thai Tôn Đức Thắng nhà hàng Âu 3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kobe-bistro-by-chef-david-thai-ton-duc-thang-3-normal-2251871956251.webp,,,
https://pasgo.vn/nha-hang/kobe-bistro-by-chef-david-thai-ton-duc-thang-4870,,,,,,,,,,,,,,,,,,,,Nhà hàng Kobe Bistro By Chef David Thai Tôn Đức Thắng nhà hàng Âu 4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kobe-bistro-by-chef-david-thai-ton-duc-thang-4-normal-2251872056252.webp,,,
https://pasgo.vn/nha-hang/kobe-bistro-by-chef-david-thai-ton-duc-thang-4870,,,,,,,,,,,,,,,,,,,,Nhà hàng Kobe Bistro By Chef David Thai Tôn Đức Thắng nhà hàng Âu 5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kobe-bistro-by-chef-david-thai-ton-duc-thang-5-normal-2251872156253.webp,,,
https://pasgo.vn/nha-hang/kobe-bistro-by-chef-david-thai-ton-duc-thang-4870,,,,,,,,,,,,,,,,,,,,Nhà hàng Kobe Bistro By Chef David Thai Tôn Đức Thắng nhà hàng Âu 6: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kobe-bistro-by-chef-david-thai-ton-duc-thang-6-normal-2251872256254.webp,,,
https://pasgo.vn/nha-hang/kobe-bistro-by-chef-david-thai-ton-duc-thang-4870,,,,,,,,,,,,,,,,,,,,Nhà hàng Kobe Bistro By Chef David Thai Tôn Đức Thắng nhà hàng Âu 7: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kobe-bistro-by-chef-david-thai-ton-duc-thang-7-normal-2251872356255.webp,,,
https://pasgo.vn/nha-hang/kobe-bistro-by-chef-david-thai-ton-duc-thang-4870,,,,,,,,,,,,,,,,,,,,Nhà hàng Kobe Bistro By Chef David Thai Tôn Đức Thắng nhà hàng Âu 8: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kobe-bistro-by-chef-david-thai-ton-duc-thang-8-normal-2251872456256.webp,,,
https://pasgo.vn/nha-hang/kobe-bistro-by-chef-david-thai-ton-duc-thang-4870,,,,,,,,,,,,,,,,,,,,Nhà hàng Kobe Bistro By Chef David Thai Tôn Đức Thắng nhà hàng Âu 9: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kobe-bistro-by-chef-david-thai-ton-duc-thang-9-normal-2251872556257.webp,,,
https://pasgo.vn/nha-hang/kobe-bistro-by-chef-david-thai-ton-duc-thang-4870,,,,,,,,,,,,,,,,,,,,Nhà hàng Kobe Bistro By Chef David Thai Tôn Đức Thắng nhà hàng Âu 10: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kobe-bistro-by-chef-david-thai-ton-duc-thang-10-normal-2251872756258.webp,,,
https://pasgo.vn/nha-hang/kobe-bistro-by-chef-david-thai-ton-duc-thang-4870,,,,,,,,,,,,,,,,,,,,Nhà hàng Kobe Bistro By Chef David Thai Tôn Đức Thắng nhà hàng Âu 11: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kobe-bistro-by-chef-david-thai-ton-duc-thang-11-normal-2251872856259.webp,,,
https://pasgo.vn/nha-hang/kobe-bistro-by-chef-david-thai-ton-duc-thang-4870,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/vuvu/MENU/kobebistro/nha-hang-kobe-bistro-by-chef-david-thai-ton-duc-thang-1.jpg
https://pasgo.vn/nha-hang/kobe-bistro-by-chef-david-thai-ton-duc-thang-4870,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/vuvu/MENU/kobebistro/nha-hang-kobe-bistro-by-chef-david-thai-ton-duc-thang-2.jpg
