ID,Name,Address,Style,Price,Hours, Special food, Suitable, Space, Characteristic, Longitude, Latitude, City 
2,Ẩm Thực Sân Vườn Mái Lá - Nguyễn Công Trứ,"Số 375-377 Nguyễn Công Trứ, P. Cầu Ông Lãnh, Q. 1",,199.000 - 399.000,09h00 - 22h00,"Gà Đốt Ô Thum, Mẹt Là Lên Mâm, Lẩu Gà Lá Cóc Rừng…","Tụ họp, gặp mặt, họp nhóm, gia đình…","Hiện đại, ấm cúng","- Nhà hàng phục vụ thủy hải sản tươi sống.
- Các món gà được chế biến từ đặc sản gà ta Đắk Lắk. 
- Thực đơn nhà hàng Ẩm Thực Sân Vườn Mái Lá là sự kết hợp hài hòa của các món ăn mang đậm dấu ấn ba miền.",106.697905,10.765465,
5,BA GÁC - Nam Kỳ Khởi Nghĩa,"Số 61 Nam Kỳ Khởi Nghĩa, P. Bến Thành, Q. 1",,250.000 - 300.000,16h00 – 24h00,"Tôm Lửa Hồng; Ba Rọi Heo Sả Tắc; Giò heo xông khói; Dẻ sườn bò Mỹ sốt cay; Hàu Hạ Long Nướng Phô Mai; Combo Ba Gác; Bánh Đa Xào Bò; Lẩu Măng Chua Cá Tầm; Bò Mỹ Nướng Ống Tre; Gà Nướng Tây Bắc Lên Mâm,…","Đặt tiệc, gặp mặt, liên hoan, họp nhóm, gia đình,…","Không gian mở, thoáng","BA GÁC là nhà hàng nướng và bia Việt Nam đương đại với sự giao thoa giữa ẩm thực nướng đặc trưng, các hoạt động văn nghệ và không gian sân vườn rộng rãi tạo nên trải nghiệm độc đáo “đậm chất BA GÁC”.
Đến BA GÁC để gác ba điều:
- Gác âu lo
- Gác muộn phiền
- Gác vai nhau, vui sau giờ làm",106.700520,10.771893,
6,Basta Hiro - Pizza & Pasta - Vincom Đồng Khởi,"Tầng B3, B3 – 06, Vincom Đồng Khởi, 72 Lê Thánh Tôn, P. Bến Nghé, Q. 1",,200.000 - 400.000,10h30 – 21h30,"Fresh Cherabin Spaghetti, Salmon Steak, Ontama Bolognese Spaghetti, Pesto Seafood, Cheese Platter, Ceasar Salad…","Tụ họp, gặp mặt, họp nhóm, sinh nhật, gia đình...",Italia hiện đại,"Basta Hiro được sáng lập bởi Hiromi Yamada - đầu bếp nổi tiếng người Nhật với tài năng đặc biệt trong việc sáng tạo các món Ý. Là người đã viết ra hàng chục cuốn sách về món Ý, ông là một trong những đầu bếp huyền thoại góp phần mang lại sự kết hợp tinh tế giữa hai phong cách Ý - Nhật.",106.701822,10.778207,
7,Bếp Ốc Sài Gòn - Hai Bà Trưng,"Số 74/7E Hai Bà Trưng, P. Bến Nghé, Q.1",,150.000 - 250.000,11h00 - 23h00,"Ốc len xào dừa, Ốc mỡ xào bơ, Sò huyết sốt sa tế, Răng mực sốt trứng muối, Nghêu hấp xả, Mì gói xào ốc giác sa tế, Hàu sống mù tạt chanh, Cá hồi tái sốt mù tạt…","Khách văn phòng, gặp mặt bạn bè, gia đình, sinh nhật","Hiện đại, trẻ trung","Chuyên các món ốc, hải sản và món nhậu.",106.703633,10.778311,
8,Bò 5S - Đinh Tiên Hoàng,"8A Đinh Tiên Hoàng, P. Đa Kao, Q. 1",,150.000 - 250.000,16h00 - 23h00,"Gỏi bưởi mực 1 nắng, Chả ram Làng Việt, Gù bò nướng ống tre, Gà quay nấm tam sắc, Tôm càng xốt cà ri, Lẩu sụn & gân bò Làng Việt, Chè khúc bạch…","Tụ họp, liên hoan, sinh nhật, gia đình, bạn bè…",Biệt thự cổ kết hợp hiện đại,"- Viet Village là nhà hàng chuyên các món Việt từ 3 miền, phù hợp dùng bữa thân tình với bạn bè, đồng nghiệp và đối tác.",106.700358,10.787858,
9,Bonjour Resto’ – Hai Bà Trưng,"Số 193/1 Hai Bà Trưng, P.6, Q.3,",,200.000 - 250.000,09h00 - 22h00,"Bánh tôm Hồ Tây, Chả cốm, Bánh đa cua Hải Phòng, Mì Quảng, Cao lầu Hội An, Bún chả cá Nha Trang, Bánh xèo, Bánh khọt, Gỏi củ hũ dừa, Rau muống xào chao ớt, Bánh canh giò heo Trảng Bàng, Bún mắm Châu Đốc...","Đặt tiệc, liên hoan, tiếp khách, sinh nhật, bạn bè, gia đình...",Kiến trúc nhà rường xưa ở Huế,Thực đơn phong phú hơn 300 món ăn 3 miền đặc trưng.,106.693935,10.786029,
10,Buffet Chay Cỏ Nội - Khách Sạn Bông Sen,"Lầu 7, Khách sạn Bông Sen, 117-123 Đồng Khởi, P. Bến Nghé, Q. 1",,250.000 - 350.000,10h00 - 16h00 ,"- Sang trọng, thuần Việt
- Sức chứa: 100 khách
- Phòng riêng: 01 phòng (10-20 khách/phòng)
- Có ban công sân vườn tầng 7 ngắm nhìn con đường Đồng Khởi, Đông Du từ trên cao.","Đặt tiệc, tiếp khách, gia đình, bạn bè, sinh nhật...","Sang trọng, thuần Việt",,106.703745,10.775096,
11,Buffet Gánh - Khách Sạn Bông Sen,"Tầng trệt, 117 - 123 Đồng Khởi, P.Bến Nghé, Q.1",,300.000 - 500.000,11h00 - 13h30 &18h00 - 21h00 ,"Hải sản, Món gỏi, Món bánh, Món nướng, Món lẩu…","Đặt tiệc, tiếp khách, sinh nhật, gia đình, bạn bè…",Phong cách dân gian Việt Nam,"Buffet Gánh sở hữu thực đơn trên 50 món đặc sản 3 miền. Đồ ăn được sắp xếp và trưng bày trên những gánh hàng, mang đậm hồn quê Việt Nam, vừa giản dị, gần gũi nhưng cũng vô cùng đẹp mắt và hấp dẫn.",106.703692,10.775394,
12,Chưa hỗ trợ đặt bàn qua PasGo,"371A Nguyễn Trãi, P. Nguyễn Cư Trinh, Q. 1",,198.000 - 435.000 vn,"10h:30 - 13h:30, 17h:30 - 20h:30","Wagyu Striploin 5 nướng, Pate Gan Ngỗng Pháp cùng nấm Truffle, Cá tuyết nướng Miso, Mì ý Tôm sốt cay, Cá hồi tẩm củ dền, Sò điệp áp chảo sốt Teriyaki, Bánh phô mai kem Ý,…","Khách hàng doanh nhân, công ty, gia đình, cặp đôi…","Phong cách điện ảnh châu Âu, sang trọng","- The Dome là nhà hàng Âu mang phong cách cinematic (phong cách điện ảnh) đầu tiên tại Sài Gòn.
- Trải nghiệm ẩm thực đỉnh cao cùng bò Wagyu Úc thượng hạng, thực đơn món Âu độc đáo với các nguyên liệu nhập khẩu trực tiếp từ Ý, Pháp, Na Uy,... trong không gian tráng lệ như các tác phẩm điện ảnh kinh điển.",106.685399,10.760303,
13,Buffet Liberty - Tôn Đức Thắng,"17 Tôn Đức Thắng, P. Bến Nghé, Q. 1",,299.000 - 599.000 vn,"10h:30 - 13h:30, 17h:30 - 20h:30","Sashimi, Sushi, Tempura, Món nướng Yaki kiểu Nhật, Mì Udon…","Tiếp khách, tiệc công tu, gia đình, họp nhóm, sinh nhật…",Phong cách Nhật Bản,"- Vị trí đắc địa trung tâm quận 1, không gian Nhật Bản ấm cúng, có máy lạnh.
- Món ăn mang hương vị chuẩn Nhật, giá thành hợp lý.",106.706492,10.774070,
14,Chạn Bếp - Cách Mạng Tháng 8,"31 Cách Mạng Tháng 8 ,P. Bến Thành, Q. 1",,100.000 - 150.000,07h00-22h00,"Bún cá ngừ, Bánh canh giò, Cơm gà Phan Rang, Chả cá cuốn bánh tráng đặc biệt, Bánh hỏi lòng heo, Khô cá dứa cơm cháy, Bạch tuộc nhúng ớt hiểm, Lẩu mắm, Lẩu gà lá é...","Tụ họp, gặp mặt, liên hoan, họp nhóm, gia đình,…...",Phong cách Việt hoài cổ,"Chạn Bếp gợi nhớ đến những bữa cơm nhà thân thương, nơi mang đến cho thực khách những món ăn ngon, sạch và đặc trưng của Phan Rang & vùng Nam Trung Bộ.",106.692622,10.771684,
15,Chang - Nguyễn Đức Cảnh,"Số SB8-1, Mỹ Khánh 2, Nguyễn Đức Cảnh, Q. 7",,100.000 - 150.000,11h00 - 21h00,"- Bò satsuma A5+ (dùng kèm bánh chanh vàng, cà chua, khoai tây nấu chậm trong mỡ bò Kobe, cà rốt nhỏ)
- Đùi vịt nấu chậm (dùng kèm khoai tây xào tỏi, húng quế, xà lách rocket, sốt mù tạt vàng)
- Cà chua lớn phô mai mozzarella (bánh tart nghìn lớp nhân cà chua, phô mai Mozzarella nhà làm, sốt quế, giấm balsamic, xà lách rocket)
- Súp vàng hải sản kiểu Pháp (Nhụy hoa nghệ tây, cá mú , sò điệp, mực, sốt Aioli)
- Mỳ Ý đen nhà làm (dùng kèm sò điệp, tôm sú biển, vẹm, sốt tôm)
- Súp phở bào ngư gan ngỗng
- Salad trái cây – kem trà xanh bạc hà – bánh quy
- Lưỡi bò","Tất cả khách hàng, gia đình, bạn bè, tiếp khách, sinh nhật...","Phong cách Âu, sang trọng, ấm áp","- Nhà hàng Kobe Bistro do đầu bếp nổi tiếng David Thai làm đầu bếp trưởng. Ông là một chuyên gia về ẩm thực Pháp đương đại. Phong cách đặc trưng của ông là sự pha trộn 2 nền ẩm thực Đông và Tây.
- Món ăn mang hương vị khác biệt và không gian sang trọng, ấm áp đặc trưng tại Kobe Bistro sẽ là một lựa chọn hoàn hảo, ghi dấu ấn khó phai cho bữa tiệc của bạn.",106.708501,10.727848,
16,Cháo Sườn Chú Chen - Nguyễn Trãi,"281 - 283 Nguyễn Trãi, P. Nguyễn Cư Trinh, Q. 1",,100.000 - 150.000,07h00 – 03h00 sáng hôm sau,Nạc vai ngoại bò Mỹ; Sườn bò Mỹ rút xương; Thịt thăn chuột bò Mỹ; Sườn cừu nướng ăn kèm khoai tây nghiền & sốt nho; Cá hồi nướng với sốt bơ chanh và khoai tây nghiền; Gà nướng ăn kèm sốt xả và khoai tây nghiền;…,"Tiếp khách, tụ họp, gặp mặt, gia đình...","Sang trọng, hiện đại","Nguồn thịt bò nhập khẩu trực tiếp từ các thương hiệu uy tín hàng đầu như Tyson và Omaha (Mỹ), Mulwarra (Úc), Hitachi (Nhật)...",106.686929,10.762892,
17,Nhà hàng Chay Phạm Nghiêm Trai Bongensai - Nguyễn Trãi,"199 Nguyễn Trãi, P. Nguyễn Cư trinh, Q.1",,130.000 - 350.000,9h00 - 22h00,"Lẩu riêu cá chép, Xôi 79, Sườn bò 79, Gỏi sò huyết ốc tương, Bào ngư sốt nấm đông cô và dầu hào, Miến cua tay cầm, Set 79 Sashimi, Lẩu Samurai 79…","Gặp gỡ đối tác, liên hoan, tiệc công ty, tụ họp bạn bè, gia đình, sinh nhật",Xe ô tô: Bãi xe tại nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),"Với thương hiệu gần 12 năm gây dựng, Phố 79 mang tới những trải nghiệm ẩm thực cao cấp, đậm dấu ấn riêng cùng kiến trúc không gian sang trọng, góp phần tạo nên thành công cho mỗi bữa tiệc đẳng cấp của khách hàng.",106.688147,10.766158,
18,Chay Shanti Veggie - Lương Hữu Khánh,"8 Lương Hữu Khánh, P. Phạm Ngũ Lão, Q. 1",,150.000 - 250.000,9h00 - 21h00,"Lẩu riêu cá chép, Xôi 79, Sườn bò 79, Gỏi sò huyết ốc tương, Bào ngư sốt nấm đông cô và dầu hào, Miến cua tay cầm, Set 79 Sashimi, Lẩu Samurai 79…","Gặp gỡ đối tác, liên hoan, tiệc công ty, tụ họp bạn bè, gia đình, sinh nhật",Xe ô tô: Bãi xe tại nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),"Với thương hiệu gần 12 năm gây dựng, Phố 79 mang tới những trải nghiệm ẩm thực cao cấp, đậm dấu ấn riêng cùng kiến trúc không gian sang trọng, góp phần tạo nên thành công cho mỗi bữa tiệc đẳng cấp của khách hàng.",106.686844,10.769539,
74,Nhà Hàng Rơm BBQ,"2 - 4 - 6 Lưu Văn Lang, Q. 1",,250.000 – 280.000 vn,"10h:30 - 13h:30, 17h:30 - 20h:30","Bánh tôm Hồ Tây, Chả cốm, Bánh đa cua Hải Phòng, Mì Quảng, Cao lầu Hội An, Bún chả cá Nha Trang, Bánh xèo, Bánh khọt, Gỏi củ hũ dừa, Rau muống xào chao ớt, Bánh canh giò heo Trảng Bàng, Bún mắm Châu Đốc...","Đặt tiệc, liên hoan, tiếp khách, sinh nhật, bạn bè, gia đình...",Kiến trúc nhà rường xưa ở Huế,Thực đơn phong phú hơn 300 món ăn 3 miền đặc trưng.,106.699365,10.773577,
19,Chị Hoa Vietnamese Cuisine - Hai Bà Trưng,"Số 97 Hai Bà Trưng, P. Bến Nghé, Q. 1",,150.000 - 200.000,11h00 – 22h00,Bánh mì Chị Hoa; Bánh mì hấp thịt heo bằm và xà lách; Bò lúc lắc Chị Hoa; Bún heo nướng chả giò; Cua lột chiên giòn sốt chanh dây; Lẩu cá lăng; Phở gà; Các loại chè ngọt...,"Gia đình, bạn bè, họp nhóm...","Hiện đại, phong cách đơn giản","Chị Hoa Vietnamese Cuisine là một không gian bếp mở giản dị, gần gũi với mọi thực khách, là nơi mang tới những bữa cơm gia đình thân thương, ấm cúng vốn rất khó tìm kiếm trong cuộc sống thời hiện đại.",106.704082,10.777209,
